[1663770600, 0.1505],
[1663857000, 0.1505],
[1663943400, 0.1586],
[1664029800, 0.1505],
[1664116200, 0.1505],
[1664202600, 0.1586],
[1664289000, 0.1505],
[1664375400, 0.1505],
[1664461800, 0.1505],
[1664548200, 0.1586],
[1664634600, 0.1505],
[1664717400, 0.1586],
[1664803800, 0.1505],
[1664890200, 0.1505],
[1664976600, 0.1505],
[1665063000, 0.3952],
[1665149400, 0.1855],
[1665235800, 0.1505],
[1665322200, 0.1774],
[1665408600, 0.1774],
[1665495000, 0.1774],
[1665581400, 0.1586],
[1665667800, 0.1505],
[1665754200, 0.1505],
[1665840600, 0.1586],
[1665927000, 0.1505],
[1666013400, 0.1505],
[1666099800, 0.1586],
[1666186200, 0.1586],
[1666272600, 0.1855],
[1666359000, 0.1505],
[1666445400, 0.1586],
[1666531800, 0.1586],
[1666618200, 0.1505],
[1666704600, 0.1505],
[1666791000, 0.1505],
[1666877400, 0.1586],
[1666963800, 0.1505],
[1667050200, 0.1855],
[1667136600, 0.1505],
[1667223000, 0.1505],
[1667309400, 0.1774],
[1667395800, 0.1774],
[1667482200, 0.1774],
[1667568600, 0.1586],
[1667655000, 0.1586],
[1667741400, 0.1586],
[1667827800, 0.1586],
[1667914200, 0.1586],
[1668000600, 0.2258],
[1668087000, 0.2527],
[1668173400, 0.2527],
[1668259800, 0.2527],
[1668346200, 0.2527],
[1668432600, 0.2527],
[1668519000, 0.2527],
[1668605400, 0.2258],
[1668691800, 0.2527],
[1668778200, 0.2527],
[1668864600, 0.2527],
[1668951000, 0.2527],
[1669037400, 0.2527],
[1669123800, 0.2258],
[1669210200, 0.2527],
[1669296600, 0.2258],
[1669383000, 0.2258],
[1669469400, 0.2258],
[1669555800, 0.2258],
[1669642200, 0.2258],
[1669728600, 0.2258],
[1669815000, 0.2258],
[1669901400, 0.2258],
[1669987800, 0.2258],
[1670074200, 0.2258],
[1670160600, 0.2258],
[1670247000, 0.2258],
[1670333400, 0.2258],
[1670419800, 0.2258],
[1670506200, 0.2258],
[1670592600, 0.2527],
[1670679000, 0.2527],
[1670765400, 0.2258],
[1670851800, 0.2527],
[1670938200, 0.2258],
[1671024600, 0.2258],
[1671111000, 0.2258],
[1671197400, 0.2258],
[1671283800, 0.2258],
[1671370200, 0.2527],
[1671456600, 0.2527],
[1671543000, 0.2258],
[1671629400, 0.2177],
[1671715800, 0.2258],
[1671802200, 0.2258],
[1671888600, 0.2177],
[1671975000, 0.2177],
[1672061400, 0.2258],
[1672147800, 0.2177],
[1672234200, 0.2177],
[1672320600, 0.2258],
[1672407000, 0.2258],
[1672493400, 0.2258],
[1672579800, 0.2258],
[1672666200, 0.1586],
[1672752600, 0.2258],
[1672839000, 0.2527],
[1672925400, 0.2258],
[1673011800, 0.2258],
[1673098200, 0.2258],
[1673184600, 0.2527],
[1673271000, 0.2258],
[1673357400, 0.2527],
[1673443800, 0.2527],
[1673530200, 0.2527],
[1673616600, 0.2527],
[1673703000, 0.2527],
[1673789400, 0.2527],
[1673875800, 0.2527],
[1673962200, 0.2527],
[1674048600, 0.2527],
[1674135000, 0.2258],
[1674221400, 0.2527],
[1674307800, 0.2527],
[1674394200, 0.2446],
[1674480600, 0.1586],
[1674567000, 0.1774],
[1674653400, 0.1774],
[1674739800, 0.1774],
[1674826200, 0.1774],
[1674912600, 0.1586],
[1674999000, 0.1586],
[1675085400, 0.1505],
[1675171800, 0.1586],
[1675258200, 0.1586],
[1675344600, 0.1855],
[1675431000, 0.1586],
[1675517400, 0.1586],
[1675603800, 0.1505],
[1675690200, 0.1586],
[1675776600, 0.1505],
[1675863000, 0.1855],
[1675949400, 0.1855],
[1676035800, 0.1855],
[1676122200, 0.1774],
[1676208600, 0.1505],
[1676295000, 0.1586],
[1676381400, 0.1586],
[1676467800, 0.1586],
[1676554200, 0.1774],
[1676640600, 0.1505],
[1676727000, 0.1505],
