[1655476200.0, 0.18400000000000008],
[1655562600.0, 0.16300000000000003],
[1655649000.0, 0.15500000000000003],
[1655735400.0, 0.15100000000000005],
[1655821800.0, 0.15500000000000003],
[1655908200.0, 0.15100000000000002],
[1655994600.0, 0.15500000000000003],
[1656081000.0, 0.16600000000000004],
[1656167400.0, 0.16800000000000004],
[1656253800.0, 0.16900000000000007],
[1656340200.0, 0.16400000000000003],
[1656426600.0, 0.16300000000000003],
[1656513000.0, 0.16300000000000003],
[1656599400.0, 0.16600000000000004],
[1656685800.0, 0.16600000000000004],
[1656772200.0, 0.17600000000000002],
[1656858600.0, 0.18000000000000002],
[1656945000.0, 0.17100000000000004],
[1657031400.0, 0.16800000000000004],
[1657117800.0, 0.15800000000000003],
[1657204200.0, 0.15000000000000002],
[1657290600.0, 0.15100000000000002],
[1657377000.0, 0.16200000000000003],
[1657463400.0, 0.16600000000000004],
[1657549800.0, 0.15700000000000003],
[1657636200.0, 0.16800000000000004],
[1657722600.0, 0.15800000000000003],
[1657809000.0, 0.15500000000000005],
[1657895400.0, 0.15700000000000006],
[1657981800.0, 0.16000000000000003],
[1658068200.0, 0.16100000000000006],
[1658154600.0, 0.16000000000000003],
[1658241000.0, 0.16400000000000003],
[1658327400.0, 0.17000000000000004],
[1658413800.0, 0.16100000000000003],
[1658500200.0, 0.16800000000000004],
[1658586600.0, 0.16300000000000003],
[1658673000.0, 0.16500000000000004],
[1658759400.0, 0.16700000000000004],
[1658845800.0, 0.17100000000000004],
[1658932200.0, 0.17300000000000004],
[1659018600.0, 0.17500000000000004],
[1659105000.0, 0.16900000000000004],
[1659191400.0, 0.16900000000000004],
[1659277800.0, 0.17200000000000004],
[1659364200.0, 0.17000000000000004],
[1659450600.0, 0.17000000000000004],
[1659537000.0, 0.17100000000000004],
[1659623400.0, 0.17300000000000004],
[1659709800.0, 0.17400000000000004],
[1659796200.0, 0.16700000000000004],
[1659882600.0, 0.17400000000000002],
[1659969000.0, 0.17400000000000004],
[1660055400.0, 0.18400000000000005],
[1660141800.0, 0.19200000000000003],
[1660228200.0, 0.19200000000000006],
[1660314600.0, 0.19800000000000004],
[1660401000.0, 0.19800000000000004],
[1660487400.0, 0.19800000000000004],
[1660573800.0, 0.19800000000000004],
[1660660200.0, 0.19700000000000004],
[1660746600.0, 0.19400000000000003],
[1660833000.0, 0.19600000000000004],
[1660919400.0, 0.19100000000000003],
[1661005800.0, 0.20000000000000004],
[1661092200.0, 0.19700000000000004],
[1661178600.0, 0.19900000000000004],
[1661265000.0, 0.19500000000000003],
[1661351400.0, 0.19300000000000003],
[1661437800.0, 0.19300000000000003],
[1661524200.0, 0.19300000000000003],
[1661610600.0, 0.19100000000000003],
[1661697000.0, 0.18000000000000002],
[1661783400.0, 0.18700000000000003],
[1661869800.0, 0.18800000000000003],
[1661956200.0, 0.18700000000000003],
[1662042600.0, 0.19800000000000004],
[1662129000.0, 0.198],
[1662215400.0, 0.19600000000000004],
[1662301800.0, 0.19800000000000004],
[1662388200.0, 0.19000000000000003],
[1662474600.0, 0.18900000000000003],
[1662561000.0, 0.19500000000000003],
[1662647400.0, 0.199],
[1662733800.0, 0.20400000000000004],
[1662820200.0, 0.20200000000000004],
[1662906600.0, 0.21000000000000005],
[1662993000.0, 0.209],
[1663079400.0, 0.20800000000000002],
[1663165800.0, 0.21000000000000002],
[1663252200.0, 0.20500000000000002],
[1663338600.0, 0.20700000000000002],
[1663425000.0, 0.20800000000000005],
[1663511400.0, 0.20800000000000002],
[1663597800.0, 0.20700000000000002],
[1663684200.0, 0.201],
[1663770600.0, 0.19700000000000004],
[1663857000.0, 0.20000000000000004],
[1663943400.0, 0.201],
[1664029800.0, 0.203],
[1664116200.0, 0.20299999999999999],
[1664202600.0, 0.20000000000000004],
[1664289000.0, 0.20500000000000002],
[1664375400.0, 0.203],
[1664461800.0, 0.20400000000000004],
[1664548200.0, 0.21300000000000002],
[1664634600.0, 0.21200000000000002],
[1664717400.0, 0.21100000000000002],
[1664803800.0, 0.21000000000000002],
[1664890200.0, 0.21400000000000002],
[1664976600.0, 0.21400000000000002],
[1665063000.0, 0.21300000000000002],
[1665149400.0, 0.21200000000000005],
[1665235800.0, 0.20700000000000002],
[1665322200.0, 0.20600000000000004],
[1665408600.0, 0.20200000000000004],
[1665495000.0, 0.21600000000000003],
[1665581400.0, 0.23099999999999993],
[1665667800.0, 0.23599999999999993],
[1665754200.0, 0.23199999999999998],
[1665840600.0, 0.22200000000000003],
