[1642426200, 0.0858],
[1642512600, 0.1125],
[1642599000, 0.025],
[1642685400, 0.0517],
[1642771800, 0.0517],
[1642858200, 0.1325],
[1642944600, 0.025],
[1643031000, 0.025],
[1643117400, 0.025],
[1643203800, 0.025],
[1643290200, 0.023],
[1643376600, 0.023],
[1643463000, 0.1338],
[1643549400, 0.1265],
[1643635800, 0.1265],
[1643722200, 0.1265],
[1643808600, 0.0183],
[1643895000, 0.0178],
[1643981400, 0.0326],
[1644067800, 0.0178],
[1644154200, 0.0326],
[1644240600, 0.0178],
[1644327000, 0.1201],
[1644413400, 0.1201],
[1644499800, 0.1201],
[1644586200, 0.0593],
[1644672600, 0.1201],
[1644759000, 0.1201],
[1644845400, 0.0934],
[1644931800, 0.0934],
[1645018200, 0.0934],
[1645104600, 0.0934],
[1645191000, 0.0178],
[1645277400, 0.0178],
[1645363800, 0.0178],
[1645450200, 0.0178],
[1645536600, 0.0178],
[1645623000, 0.0178],
[1645709400, 0.0178],
[1645795800, 0.0178],
[1645882200, 0.0934],
[1645968600, 0.0198],
[1646055000, 0.0178],
[1646141400, 0.0178],
[1646227800, 0.0178],
[1646314200, 0.0178],
[1646400600, 0.0178],
[1646487000, 0.0934],
[1646573400, 0.0225],
[1646659800, 0.0225],
[1646746200, 0.0934],
[1646832600, 0.1307],
[1646919000, 0.0211],
[1647005400, 0.0312],
[1647091800, 0.0211],
[1647178200, 0.0245],
[1647264600, 0.1201],
[1647351000, 0.0512],
[1647437400, 0.0512],
[1647523800, 0.0178],
[1647610200, 0.1201],
[1647696600, 0.1201],
[1647783000, 0.0198],
[1647869400, 0.0198],
[1647955800, 0.1201],
[1648042200, 0.1201],
[1648128600, 0.1248],
[1648215000, 0.0786],
[1648301400, 0.0178],
[1648387800, 0.0786],
[1648474200, 0.0178],
[1648560600, 0.0786],
[1648647000, 0.0786],
[1648733400, 0.0786],
[1648819800, 0.0786],
[1648906200, 0.0786],
[1648996200, 0.0786],
[1649082600, 0.1294],
[1649169000, 0.0786],
[1649255400, 0.0786],
[1649341800, 0.0786],
[1649428200, 0.0786],
[1649514600, 0.0786],
[1649601000, 0.0786],
[1649687400, 0.0786],
[1649773800, 0.0786],
[1649860200, 0.0178],
[1649946600, 0.0888],
[1650033000, 0.0806],
[1650119400, 0.0806],
